case_id,open_date,close_date,days_to_close,severity,product_area,issue_type,complexity,effort_level,escalation_flag,reopen_flag,agent_type,lifecycle_stage_touched,handoff_time_hours,num_actions,automation_success,first_response_time_hours,resolution_accuracy,csat_score,sla_target_days,sla_met,repeat_contact_flag,kb_article_used,kb_coverage_score,engineer_workload,queue_depth
CASE-100001,2024-01-14T04:00:00.000Z,2024-01-29T18:07:55.733Z,15.59,Sev-C,Data Platform,Configuration,Medium,High,false,true,Knowledge,Creation,4.9,8,true,3.1,0.95,3.1,12,false,true,true,0.89,20,44
CASE-100002,2024-02-13T22:00:00.000Z,2024-03-05T08:21:57.654Z,20.43,Sev-D,Identity,Performance,Medium,High,false,false,None,,,1,,7.5,0.71,3.4,18,false,false,true,0.69,18,74
CASE-100003,2025-02-25T16:00:00.000Z,2025-03-13T14:52:15.732Z,15.95,Sev-C,Networking,Bug,High,Low,false,false,Routing,Creation,4.3,8,true,5,0.97,3.6,12,false,false,false,0.37,9,38
CASE-100004,2024-11-10T21:00:00.000Z,2024-12-06T05:11:35.893Z,25.34,Sev-D,Compute,Configuration,High,Medium,false,true,None,,,3,,2.7,0.76,3.4,18,false,false,false,0.24,10,20
CASE-100005,2024-05-26T09:00:00.000Z,2024-06-08T13:18:34.748Z,13.18,Sev-B,Networking,Feature Gap,High,Low,false,false,Routing,Creation,2,3,false,2.6,0.68,3.9,8,false,false,false,0.41,6,47
CASE-100006,2025-02-09T10:00:00.000Z,2025-02-19T09:07:05.620Z,9.96,Sev-C,Identity,Performance,Medium,Medium,false,false,Blended,Creation,4.2,3,true,4.3,0.99,5,12,true,false,true,0.62,18,73
CASE-100007,2024-06-24T10:00:00.000Z,2024-07-07T10:05:17.145Z,13,Sev-B,Security,Feature Gap,High,Medium,true,false,Knowledge,Closure,5.3,5,true,4,0.75,4.3,8,false,false,false,0.47,21,49
CASE-100008,2024-09-15T10:00:00.000Z,2024-10-02T09:16:50.604Z,16.97,Sev-D,Collaboration,How-To,Medium,Low,false,false,Routing,Closure,9.1,6,true,3.3,1,3.4,18,true,false,false,0.42,7,54
CASE-100009,2024-04-24T16:00:00.000Z,2024-05-11T09:52:28.092Z,16.74,Sev-C,Identity,Configuration,Medium,Medium,false,true,None,,,2,,5.3,1,4.6,12,false,false,false,0.54,4,32
CASE-100010,2025-03-06T22:00:00.000Z,2025-03-22T20:31:55.082Z,15.94,Sev-C,Security,How-To,Low,High,false,true,CaseHealth,Closure,5.2,2,true,2.3,0.84,4.8,12,false,false,true,0.8,8,43
CASE-100011,2024-05-23T23:00:00.000Z,2024-06-12T05:49:55.792Z,19.28,Sev-C,Identity,Performance,Medium,High,false,false,CaseHealth,Scoping/Troubleshooting,4.9,8,false,5.2,0.84,3.2,12,false,false,false,0.5,18,16
CASE-100012,2024-01-17T06:00:00.000Z,2024-01-29T16:38:08.944Z,12.44,Sev-C,Security,Outage,Low,Medium,false,false,Scoping,Closure,9.7,2,true,1.5,0.99,5,12,false,false,false,0.45,18,11
CASE-100013,2025-02-24T08:00:00.000Z,2025-03-10T15:13:08.187Z,14.3,Sev-C,Data Platform,Feature Gap,Low,High,false,false,Blended,Scoping/Troubleshooting,4.8,3,true,2,0.96,5,12,false,true,true,0.78,24,48
CASE-100014,2024-11-25T14:00:00.000Z,2024-12-07T04:39:39.405Z,11.61,Sev-C,Security,Performance,Low,Medium,false,false,None,,,1,,5.7,0.99,4.3,12,true,false,false,0.43,8,15
CASE-100015,2024-04-15T11:00:00.000Z,2024-05-01T22:37:19.075Z,16.48,Sev-C,Compute,Outage,Low,High,false,false,None,,,1,,6.3,0.86,2.9,12,false,false,true,0.82,5,79
CASE-100016,2024-10-20T13:00:00.000Z,2024-11-02T14:45:01.048Z,13.07,Sev-C,Data Platform,Bug,Medium,Medium,false,false,Blended,Scoping/Troubleshooting,5.9,5,true,7.3,0.77,3.5,12,false,false,false,0.34,20,9
CASE-100017,2024-12-23T14:00:00.000Z,2025-01-11T05:51:21.072Z,18.66,Sev-C,Compute,How-To,Medium,Medium,false,false,None,,,1,,6.6,0.81,4.3,12,false,false,false,0.21,19,14
CASE-100018,2025-03-13T16:00:00.000Z,2025-04-06T08:58:46.730Z,23.71,Sev-D,Networking,Feature Gap,High,Medium,false,false,None,,,2,,8.2,0.77,4,18,false,false,true,1,3,41
